x	y
-0.7	2.56031794
-0.7	2.56031794
-0.700143945	2.806463075
-0.700143945	2.806463075
-0.69912722	3.052468507
-0.69912722	3.052468507
-0.681434801	3.298386267
-0.681434801	3.298386267
-0.627790612	3.539202722
-0.627790612	3.539202722
-0.519789388	3.757334532
-0.519789388	3.757334532
-0.341182053	3.919320622
-0.341182053	3.919320622
-0.107706115	3.993882026
-0.107706115	3.993882026
0.140760416	3.988913352
0.140760416	3.988913352
0.370692907	3.901331983
0.370692907	3.901331983
0.539442973	3.728478696
0.539442973	3.728478696
0.638285415	3.50568374
0.638285415	3.50568374
0.685724162	3.263651151
0.685724162	3.263651151
0.699787186	3.017541981
0.699787186	3.017541981
0.70009097	2.771513909
0.70009097	2.771513909
0.7	2.525400801
0.7	2.525400801
0.7	2.279348086
0.7	2.279348086
0.7	2.033295371
0.7	2.033295371
0.7	1.787242656
0.7	1.787242656
0.7	1.541189941
0.7	1.541189941
0.7	1.295137226
0.7	1.295137226
0.7	1.04908451
0.7	1.04908451
0.7	0.803031795
0.7	0.803031795
0.7	0.55697908
0.7	0.55697908
0.7	0.310926365
0.7	0.310926365
0.7	0.06487365
0.7	0.06487365
0.7	-0.181179065
0.7	-0.181179065
0.7	-0.42723178
0.7	-0.42723178
0.7	-0.674684778
0.7	-0.674684778
0.776391915	-0.89999856
0.776391915	-0.89999856
0.993989569	-0.999896856
0.993989569	-0.999896856
1.23861468	-1.028885674
1.23861468	-1.028885674
1.467573552	-1.11604583
1.467573552	-1.11604583
1.668461623	-1.256253364
1.668461623	-1.256253364
1.829510286	-1.441508563
1.829510286	-1.441508563
1.940556861	-1.660363737
1.940556861	-1.660363737
1.994886689	-1.899002597
1.994886689	-1.899002597
1.989499147	-2.144538707
1.989499147	-2.144538707
1.924087025	-2.382182117
1.924087025	-2.382182117
1.803066219	-2.595889795
1.803066219	-2.595889795
1.634269206	-2.773112265
1.634269206	-2.773112265
1.427479319	-2.904025128
1.427479319	-2.904025128
1.19424328	-2.980953387
1.19424328	-2.980953387
0.948399152	-2.998667789
0.948399152	-2.998667789
0.706543585	-2.955972454
0.706543585	-2.955972454
0.48312139	-2.856058703
0.48312139	-2.856058703
0.290212461	-2.704341794
0.290212461	-2.704341794
0.102035029	-2.548547422
0.102035029	-2.548547422
-0.133301552	-2.561904755
-0.133301552	-2.561904755
-0.315185418	-2.728715881
-0.315185418	-2.728715881
-0.51331947	-2.873580026
-0.51331947	-2.873580026
-0.740093261	-2.965633723
-0.740093261	-2.965633723
-0.983291827	-2.999860409
-0.983291827	-2.999860409
-1.228367754	-2.973574943
-1.228367754	-2.973574943
-1.458776254	-2.888551827
-1.458776254	-2.888551827
-1.660870241	-2.750500183
-1.660870241	-2.750500183
-1.823377944	-2.567493402
-1.823377944	-2.567493402
-1.936864942	-2.349691407
-1.936864942	-2.349691407
-1.993941605	-2.109909444
-1.993941605	-2.109909444
-1.990754754	-1.864334909
-1.990754754	-1.864334909
-1.928127696	-1.627738022
-1.928127696	-1.627738022
-1.80950906	-1.412892615
-1.80950906	-1.412892615
-1.64209171	-1.233372166
-1.64209171	-1.233372166
-1.436040117	-1.100072771
-1.436040117	-1.100072771
-1.203902373	-1.021008773
-1.203902373	-1.021008773
-0.959201978	-0.997091967
-0.959201978	-0.997091967
-0.754778606	-0.872819177
-0.754778606	-0.872819177
-0.7	-0.63954122
-0.7	-0.63954122
-0.7	-0.39231464
-0.7	-0.39231464
-0.7	-0.146261925
-0.7	-0.146261925
-0.7	0.099790789
-0.7	0.099790789
-0.7	0.345843504
-0.7	0.345843504
-0.7	0.59189622
-0.7	0.59189622
-0.7	0.837948935
-0.7	0.837948935
-0.7	1.08400165
-0.7	1.08400165
-0.7	1.330054365
-0.7	1.330054365
-0.7	1.57610708
-0.7	1.57610708
-0.7	1.822159795
-0.7	1.822159795
-0.7	2.06821251
-0.7	2.06821251
-0.7	2.314265225
-0.7	2.314265225
